iter	Passed	Remaining
280	445	3765
281	447	3760
282	448	3754
283	449	3749
284	450	3743
285	451	3740
286	453	3737
287	454	3735
288	456	3732
289	457	3727
290	458	3722
291	459	3716
292	460	3710
293	461	3704
294	462	3699
295	463	3693
296	464	3687
297	465	3682
298	467	3679
299	468	3674
300	469	3671
301	470	3667
302	472	3666
303	473	3663
304	475	3659
305	476	3655
306	477	3650
307	479	3648
308	480	3645
309	481	3640
310	482	3635
311	483	3629
312	484	3625
313	485	3621
314	487	3616
315	487	3610
316	488	3604
317	489	3599
318	491	3595
319	492	3589
320	493	3584
321	494	3579
322	495	3573
323	496	3568
324	497	3564
325	498	3561
326	499	3556
327	501	3553
328	502	3551
329	503	3546
330	504	3542
331	505	3537
332	506	3532
333	508	3529
334	509	3525
335	510	3521
336	511	3517
337	512	3514
338	514	3510
339	515	3505
340	516	3501
341	517	3499
342	519	3497
343	520	3493
344	521	3490
345	522	3486
346	523	3483
347	525	3480
348	526	3477
349	527	3472
350	529	3471
351	530	3467
352	531	3464
353	532	3461
354	533	3457
355	535	3455
356	536	3453
357	537	3450
358	539	3446
359	540	3443
360	541	3441
361	543	3438
362	544	3433
363	545	3430
364	546	3428
365	548	3427
366	549	3423
367	550	3419
368	551	3414
369	552	3410
370	553	3406
371	554	3403
372	556	3401
373	557	3398
374	558	3396
375	559	3392
376	561	3389
377	562	3386
378	563	3384
379	565	3382
380	566	3382
381	568	3378
382	569	3374
383	570	3371
384	571	3368
385	573	3367
386	574	3365
387	575	3363
388	577	3361
389	578	3359
390	580	3357
391	581	3355
392	583	3354
393	584	3352
394	585	3349
395	587	3347
396	588	3344
397	589	3343
398	591	3341
399	592	3337
400	593	3337
401	595	3336
402	597	3335
403	598	3333
404	599	3330
405	601	3328
406	602	3326
407	603	3322
408	604	3318
409	605	3315
410	606	3311
411	607	3307
412	608	3303
413	610	3301
414	611	3298
415	612	3295
416	613	3293
417	615	3290
418	616	3287
419	617	3284
420	618	3280
421	619	3278
422	621	3276
423	622	3272
424	623	3270
425	624	3267
426	626	3265
427	627	3264
428	628	3261
429	629	3258
430	631	3255
431	632	3251
432	633	3249
433	634	3245
434	635	3242
435	636	3238
436	637	3235
437	638	3232
438	640	3231
439	641	3230
440	643	3228
441	644	3226
442	645	3223
443	647	3220
444	648	3218
445	649	3216
446	650	3213
447	651	3210
448	652	3206
449	653	3202
450	655	3199
451	656	3197
452	657	3196
453	658	3193
454	660	3190
